premium,name,has_test,response_letter_required,department_id,department_name,area_id,area_name,salary_from,salary_to,salary_currency,salary_gross,type_id,employer_name,schedule_id,experience_id,employment_id,is_address,is_insider_interview,salary_from_rub,salary_to_rub,"(False, 'salary_from_rub')","(False, 'salary_to_rub')"
False,Главный аналитик данных / Дата аналитик / data analyst (Анти-фрод),False,False,6591-6591-biz,"ПАО «Промсвязьбанк», Бизнес и инфраструктура",1,Москва,,,,,open,ПСБ (ПАО «Промсвязьбанк»),fullDay,between1And3,full,True,True,,,,
False,Аналитик HR-данных (1с:ЗУП),False,False,,,2,Санкт-Петербург,,,,,open,"РУСАЛ, Центр подбора персонала",fullDay,between1And3,full,True,False,,,,
False,Руководитель группы развития баз данных и отчётности (Тимлид системных аналитиков),True,False,,,1,Москва,,,,,open,Ригла,remote,between3And6,full,False,False,,,,
False,Сomputer vision engineer/Data Scientiest,False,False,,,1,Москва,,,,,open,Цифровые технологии и платформы,fullDay,between3And6,full,True,False,,,,
False,Data engineer (Искусственный интеллект),False,False,3529-3529-prof,Сбер для экспертов,1,Москва,,,,,open,СБЕР,fullDay,between3And6,full,False,False,,,,
False,BI data-аналитик,False,False,,,4,Новосибирск,,,,,open,Siberian Wellness,fullDay,between1And3,full,True,False,,,,
False,Data Analyst,False,False,,,2,Санкт-Петербург,,,,,open,Lesta Games,fullDay,between1And3,full,True,False,,,,
False,Управляющий эксперт по аналитике данных,False,False,6591-6591-it,"ПАО «Промсвязьбанк», ИТ",1,Москва,,,,,open,ПСБ (ПАО «Промсвязьбанк»),fullDay,between3And6,full,True,True,,,,
False,Аналитик данных (Сквозные бизнес компоненты),False,False,vtb-4181-rbiz,"ПАО ВТБ, Розничный бизнес",1,Москва,,,,,open,Банк ВТБ (ПАО),fullDay,between3And6,full,True,False,,,,
False,Старший инженер по эксплуатации систем хранения данных (СХД),False,False,mgfn-3127-it,"МегаФон, IT",53,Краснодар,,,,,open,МегаФон,fullDay,between1And3,full,False,False,,,,
False,Руководитель группы (лаборатория искусственного интеллекта),False,False,sbr-3809-sibb,Сибур,1,Москва,,,,,open,"СИБУР, Группа компаний",fullDay,between3And6,full,True,True,,,,
False,Старший инженер систем хранения данных,False,False,mts-3776-main,«МТС» ,90,Томск,120000.0,,RUR,True,open,МТС,fullDay,between3And6,full,False,True,120000.0,,120000.0,
False,Middle \ Senior Data scientist (команды CRM и модели оптимизации),False,False,vtb-4181-teh,"ПАО ВТБ, Технологический блок",1,Москва,,,,,open,Банк ВТБ (ПАО),fullDay,between1And3,full,True,False,,,,
False,Инженер данных / Data engineer,False,False,,,2,Санкт-Петербург,,,,,open,БФТ-Холдинг (Бюджетные и Финансовые Технологии),remote,between1And3,full,False,True,,,,
False,Data Engineer,False,False,,,88,Казань,,,,,open,Aston,remote,between3And6,full,False,False,,,,
False,Middle ML Researcher в Sber Ai Lab,False,False,3529-3529-prof,Сбер для экспертов,1,Москва,,,,,open,СБЕР,fullDay,between1And3,full,False,False,,,,
False,Data scientist (Анализ ГИС данных),False,False,,,1,Москва,,,,,open,ФАУ Единый институт пространственного планирования РФ,fullDay,between3And6,full,False,False,,,,
False,Data Strategy Analyst,False,False,,,1,Москва,,,,,open,Axenix (ранее Accenture),fullDay,between3And6,full,True,False,,,,
False,Data Engineer,False,False,,,1,Москва,,,,,open,Axenix (ранее Accenture),fullDay,between1And3,full,False,False,,,,
