premium,name,department_id,department_name,area_id,area_name,has_test,response_letter_required,salary_from,salary_to,salary_currency,salary_gross,type_id,employer_name,schedule_id,experience_id,employment_id,is_address,is_insider_interview
False,Аналитик данных (data analyst),,,88,Казань,False,False,,,,,open,Cardsmobile,remote,between3And6,full,False,False
False,Аналитик данных (data analyst),,,66,Нижний Новгород,False,False,,,,,open,Cardsmobile,remote,between3And6,full,False,False
False,Аналитик данных (data analyst),,,53,Краснодар,False,False,,,,,open,Cardsmobile,remote,between3And6,full,False,False
False,Senior ML Engineer,,,2,Санкт-Петербург,False,False,,,,,open,Тинькофф,fullDay,between3And6,full,False,False
False,Аналитик данных,,,2,Санкт-Петербург,False,False,70000.0,,RUR,False,open,ЦЕНТРОФИНАНС,remote,between1And3,full,False,False
False,Аналитик данных,,,1,Москва,False,False,70000.0,,RUR,False,open,ЦЕНТРОФИНАНС,remote,between1And3,full,False,False
False,Data Engineer,rosbank-599-opyt,"«РОСБАНК, Societe Generale Group», с опытом работы",1,Москва,False,False,,,,,open,"РОСБАНК, Societe Generale Group (Russia)",fullDay,between1And3,full,True,False
False,Data Scientist,,,1,Москва,False,False,,,,,open,Samsung Research Center,fullDay,between3And6,full,True,False
False,Senior Data Engineer / Ведущий инженер данных,2155808-2155808-uma,UMA.Tech,1,Москва,False,False,,,,,open,Газпром-медиа Развлекательное телевидение (ГПМ РТВ),fullDay,between3And6,full,True,False
False,Архитектор (team-lead) ML,105904-105904-it,Yota. IT,2,Санкт-Петербург,False,False,,,,,open,Yota,fullDay,noExperience,full,True,False
False,Data Scientist,,,2,Санкт-Петербург,False,False,,,,,open,Devim,fullDay,between1And3,full,False,False
False,Artificial Intelligence Engineer,,,1,Москва,False,False,,,,,open,Antal Russia,fullDay,between3And6,full,False,False
False,Data engineer,,,1,Москва,False,False,,,,,open,ДИДЖИ ТЕХ,fullDay,between1And3,full,True,False
False,Big Data Engineer (PySpark),,,79,Саратов,False,False,,,,,open,Grid Dynamics,remote,between3And6,full,False,False
False,Senior ML Engineer,,,79,Саратов,False,False,,,,,open,Grid Dynamics,remote,between3And6,full,False,False
